,precision,recall,f1-score,support
Arborio,0.9946188340807175,0.9857777777777778,0.9901785714285715,2250.0
Basmati,1.0,0.9946666666666667,0.9973262032085561,2250.0
Ipsala,1.0,1.0,1.0,2250.0
Jasmine,0.9854945054945055,0.9964444444444445,0.990939226519337,2250.0
Karacadag,0.9946832077979619,0.9977777777777778,0.9962280896383403,2250.0
accuracy,0.9949333333333333,0.9949333333333333,0.9949333333333333,0.9949333333333333
macro avg,0.994959309474637,0.9949333333333332,0.9949344181589611,11250.0
weighted avg,0.9949593094746368,0.9949333333333333,0.9949344181589611,11250.0
