accuracy,loss,val_accuracy,val_loss,learning_rate
0.9135618805885315,0.523471474647522,0.967644453048706,0.09368347376585007,0.0010000000474974513
0.9592761993408203,0.12600423395633698,0.9749333262443542,0.07847350835800171,0.0010000000474974513
0.965161919593811,0.1102713793516159,0.9758222103118896,0.07546887546777725,0.0010000000474974513
0.9699428677558899,0.09214313328266144,0.9807111024856567,0.05734549090266228,0.0010000000474974513
0.9719428420066833,0.08900868892669678,0.9805333614349365,0.055265381932258606,0.0010000000474974513
0.9739428758621216,0.08158666640520096,0.9671111106872559,0.1048302873969078,0.0010000000474974513
0.975523829460144,0.07662825286388397,0.9611555337905884,0.1279352456331253,0.0010000000474974513
0.9761523604393005,0.07353529334068298,0.9658666849136353,0.12229001522064209,0.0010000000474974513
0.9818476438522339,0.05841592699289322,0.9843555688858032,0.049134761095047,0.0005000000237487257
0.9827428460121155,0.05450644716620445,0.9768000245094299,0.07325808703899384,0.0005000000237487257
0.9833333492279053,0.05137661471962929,0.9871110916137695,0.039646171033382416,0.0005000000237487257
0.984000027179718,0.04926558956503868,0.9819555282592773,0.053110454231500626,0.0005000000237487257
0.9841523766517639,0.04984838515520096,0.9872000217437744,0.04848131909966469,0.0005000000237487257
0.9835809469223022,0.052480366080999374,0.9665777683258057,0.10072993487119675,0.0005000000237487257
0.9873714447021484,0.0406610481441021,0.9825778007507324,0.057182926684617996,0.0002500000118743628
0.987333357334137,0.03999960795044899,0.9824888706207275,0.06298881024122238,0.0002500000118743628
