,precision,recall,f1-score,support
Arborio,0.9574656623836951,0.9604444444444444,0.9589527401819392,2250.0
Basmati,0.9879140555058191,0.9808888888888889,0.9843889384478145,2250.0
Ipsala,0.9960106382978723,0.9986666666666667,0.9973368841544608,2250.0
Jasmine,0.9758454106280193,0.9875555555555555,0.9816655621824608,2250.0
Karacadag,0.9685534591194969,0.9582222222222222,0.9633601429848079,2250.0
accuracy,0.9771555555555556,0.9771555555555556,0.9771555555555556,0.9771555555555556
macro avg,0.9771578451869806,0.9771555555555554,0.9771408535902966,11250.0
weighted avg,0.9771578451869806,0.9771555555555556,0.9771408535902967,11250.0
