,precision,recall,f1-score,support
Arborio,0.975010960105217,0.9884444444444445,0.981681747958508,2250.0
Basmati,0.9844995571302038,0.988,0.9862466725820763,2250.0
Ipsala,0.9995557529986673,1.0,0.9997778271495223,2250.0
Jasmine,0.9835701598579041,0.9844444444444445,0.9840071079520213,2250.0
Karacadag,0.9932065217391305,0.9746666666666667,0.9838492597577388,2250.0
accuracy,0.9871111111111112,0.9871111111111112,0.9871111111111112,0.9871111111111112
macro avg,0.9871685903662245,0.9871111111111113,0.9871125230799732,11250.0
weighted avg,0.9871685903662246,0.9871111111111112,0.9871125230799733,11250.0
