accuracy,loss,val_accuracy,val_loss,learning_rate
0.6257143020629883,0.8773457407951355,0.5213333368301392,1.071528434753418,0.0010000000474974513
0.8320761919021606,0.43237927556037903,0.9275555610656738,0.19122634828090668,0.0010000000474974513
0.9474095106124878,0.1464666724205017,0.9766222238540649,0.07378112524747849,0.0010000000474974513
0.9674285650253296,0.09481173008680344,0.9729777574539185,0.07720057666301727,0.0010000000474974513
0.9694095253944397,0.08742209523916245,0.9734222292900085,0.07812870293855667,0.0010000000474974513
0.975257158279419,0.07226169854402542,0.9774222373962402,0.0664689689874649,0.0010000000474974513
0.9775428771972656,0.06618291139602661,0.9795555472373962,0.05872616171836853,0.0010000000474974513
0.9793905019760132,0.06057291105389595,0.9815999865531921,0.049378395080566406,0.0010000000474974513
0.9799428582191467,0.056519392877817154,0.9831110835075378,0.04776105284690857,0.0010000000474974513
0.9829905033111572,0.05004051700234413,0.9849777817726135,0.04403122141957283,0.0010000000474974513
0.9855619072914124,0.04412100836634636,0.9880889058113098,0.03428671881556511,0.0010000000474974513
0.9853714108467102,0.04354345053434372,0.993244469165802,0.02122187428176403,0.0010000000474974513
0.9862285852432251,0.04095054045319557,0.9919111132621765,0.026789605617523193,0.0010000000474974513
0.9871047735214233,0.03795967623591423,0.9864888787269592,0.03978588059544563,0.0010000000474974513
0.9864380955696106,0.039470139890909195,0.9918222427368164,0.02834033966064453,0.0010000000474974513
0.9910857081413269,0.026850076392292976,0.9939555525779724,0.018776211887598038,0.0005000000237487257
0.991104781627655,0.026509679853916168,0.9934222102165222,0.02193870022892952,0.0005000000237487257
0.991352379322052,0.02593914233148098,0.992888867855072,0.02049405686557293,0.0005000000237487257
0.9918095469474792,0.024820279330015182,0.995199978351593,0.016186771914362907,0.0005000000237487257
0.9923047423362732,0.02360672876238823,0.9883555769920349,0.03732939064502716,0.0005000000237487257
