,precision,recall,f1-score,support
Arborio,0.9644970414201184,0.9417777777777778,0.9530020238362942,2250.0
Basmati,0.9545655050727834,0.9617777777777777,0.9581580695151649,2250.0
Ipsala,0.9991103202846975,0.9982222222222222,0.9986660738105825,2250.0
Jasmine,0.906553911205074,0.9528888888888889,0.9291440953412784,2250.0
Karacadag,0.99033594109526,0.9564444444444444,0.9730951842640742,2250.0
accuracy,0.9622222222222222,0.9622222222222222,0.9622222222222222,0.9622222222222222
macro avg,0.9630125438155867,0.9622222222222222,0.9624130893534788,11250.0
weighted avg,0.9630125438155867,0.9622222222222222,0.9624130893534787,11250.0
